lake_id,NAME,COUNTRY,MAX DISTANCE TO LAND (KM),LAT CENTRE,LON CENTRE,N PIXELS LSWT_mean,N PIXELS LSWT_std,N PIXELS CLIM_mean,N PIXELS CLIM_std,LSWT_spatial_mean,LSWT_spatial_std,PIXELS_PERCENTAGE_mean,PIXELS_PERCENTAGE_std,max_N_no_obs_consecutive_days,N_no_obs_consecutive_days_mean,N_no_obs_consecutive_days_std,longest_duration_days,Freq_Rank,N_obs_days_mean,N_obs_days_std,selection,Insitu-only flag,LIC-only flag,LSWT-only flag,UOR_selection_flag,UOR_LIC_with_insitu_flag,lake_cluster_flag,Form ice flag
17, lake Balqhash,Kazakhstan,25.4,46.2903,74.4764,12317.237323214902,9454.430787457566,27935.42410412441,2963.270153996418,0.624039668851328,0.27677998680623195,42.58041733748713,32.68375838302468,111,5.573875802997859,15.588127673924776,,,252.08695652173913,18.720220092621922,1,0,1,0,0,0,,1
20, lago Titicaca,"Bolivia Plurinational State of,Peru",23.4,-15.7681,-69.4569,3697.3932236520604,3105.1738906166697,8918.907333537894,42.64980643412816,0.3724194494217299,0.21612627810369692,40.94112749033397,34.38350006219315,20,1.778301886792453,1.7077056981903118,,,266.9130434782609,43.909941971637465,1,0,0,1,0,0,,0
21, lago Nicaragua/Cocibolca/Granada,Nicaragua,25.1,11.3569,-85.2431,1403.018439716312,1860.4125835936454,9388.993518185092,42.682714053916584,0.29172056737588653,0.13287698275146143,14.804457525760386,19.630817596218687,238,13.178082191780822,34.5826753941609,,,30.652173913043477,13.8091165396177,1,0,0,1,1,0,,0
25, Issyk Kul,Kyrgyzstan,26.9,42.4236,77.3653,4534.796128071482,3316.559208652095,9821.053233039202,6.205424493810238,0.5592418466120626,0.2304549777270494,46.019851106875194,33.65698405370498,56,1.556786703601108,2.02961854730869,7192.0,3.0,291.95652173913044,33.981918000432856,1,1,0,0,1,0,,1
26, Great Salt lake,United States,15.0,41.2847,-112.6875,2281.274020275382,1732.0843504712188,7879.746242000298,173.22823524457422,0.7232597972461795,0.28450283590720993,26.53569873531909,20.14754391614763,25,1.6516129032258065,1.7034282801032823,,,287.3478260869565,18.833260461341876,1,0,0,0,0,0,,1
44, lake of the Woods,"United States,Canada",11.8,49.0847,-94.9458,1426.2161054172768,1330.7193090471987,4969.285830840359,312.5358349820524,0.5623628111273792,0.3074232675953401,21.837637504475225,20.375429628651062,153,4.475763016157989,17.279460456904324,7635.0,2.0,148.47826086956522,19.216161676183344,1,1,1,0,1,1,,1
51, lake Van,Turkey,17.7,38.6292,42.7292,2601.854082223509,1777.0888483693032,5410.463140123804,3.7127274871201186,0.4682708453966416,0.22903079614113617,48.004687863902376,32.78761712858506,15,1.5188199389623602,1.0756728387770143,,,300.3478260869565,26.441373736235573,1,0,1,0,0,0,,1
52, represa de Tucurui,Brazil,6.4,-4.1347,-49.6208,78.95589558955895,201.36571283438704,1771.3917426788287,241.34430817876205,0.28868676867686766,0.22500887869468844,2.456624007142469,6.2652679786679135,104,7.023121387283237,9.821599662447479,1622.0,2.0,48.30434782608695,9.072610041461436,1,1,0,0,1,0,,0
81, lake Bangweulu and lake Walilupe and lake Chifunabuli,Zambia,9.7,-10.9792,29.9042,1295.688154450262,724.1586143881283,2301.384668828161,28.847405780472798,0.27415281413612563,0.1334674686339983,54.85555268629388,30.6587050968725,168,6.032731376975169,18.780664940559404,,,132.8695652173913,31.72940183349605,1,0,0,1,1,0,,0
84, lago Mar Chiquita,Argentina,25.7,-30.4931,-62.4819,2987.1259654284663,2367.149031082091,8253.081697171381,55.67910652503639,0.6043558293490254,0.2474597670355882,35.371533042373784,28.030183908609803,15,2.03363074811256,1.8077375245543448,,,236.43478260869566,25.144719465447363,1,0,0,1,1,0,,0
